
2025/02/19 (03:35:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/19 (03:35:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (03:35:49) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/19 (03:35:49) | DEBUG: Shared::init() : Initialized.
2025/02/19 (03:35:49) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/21 (18:09:48) | ===> btop++ v.1.4.0
2025/02/21 (18:09:48) | INFO: Logger set to DEBUG
2025/02/21 (18:09:48) | DEBUG: Using locale en_US.UTF-8
2025/02/21 (18:09:48) | INFO: Running on /dev/pts/0
2025/02/21 (18:09:48) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (18:09:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (18:09:48) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/21 (18:09:48) | DEBUG: Shared::init() : Initialized.
2025/02/21 (18:09:48) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/21 (18:10:50) | ===> btop++ v.1.4.0
2025/02/21 (18:10:50) | INFO: Logger set to DEBUG
2025/02/21 (18:10:50) | DEBUG: Using locale en_US.UTF-8
2025/02/21 (18:10:50) | INFO: Running on /dev/pts/2
2025/02/21 (18:10:51) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (18:10:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (18:10:51) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/21 (18:10:51) | DEBUG: Shared::init() : Initialized.
2025/02/21 (18:10:51) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/21 (23:11:44) | ===> btop++ v.1.4.0
2025/02/21 (23:11:44) | INFO: Logger set to DEBUG
2025/02/21 (23:11:44) | DEBUG: Using locale en_US.UTF-8
2025/02/21 (23:11:44) | INFO: Running on /dev/pts/2
2025/02/21 (23:11:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (23:11:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (23:11:44) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/21 (23:11:44) | DEBUG: Shared::init() : Initialized.
2025/02/21 (23:11:44) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/22 (22:48:05) | ===> btop++ v.1.4.0
2025/02/22 (22:48:05) | INFO: Logger set to DEBUG
2025/02/22 (22:48:05) | DEBUG: Using locale en_US.UTF-8
2025/02/22 (22:48:05) | INFO: Running on /dev/pts/0
2025/02/22 (22:48:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/22 (22:48:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/22 (22:48:05) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/22 (22:48:05) | DEBUG: Shared::init() : Initialized.
2025/02/22 (22:48:05) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/28 (08:24:01) | ===> btop++ v.1.4.0
2025/02/28 (08:24:01) | INFO: Logger set to DEBUG
2025/02/28 (08:24:01) | DEBUG: Using locale en_US.UTF-8
2025/02/28 (08:24:01) | INFO: Running on /dev/pts/1
2025/02/28 (08:24:02) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/28 (08:24:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/28 (08:24:02) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/28 (08:24:02) | DEBUG: Shared::init() : Initialized.
2025/02/28 (08:24:02) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/28 (14:57:37) | ===> btop++ v.1.4.0
2025/02/28 (14:57:37) | INFO: Logger set to DEBUG
2025/02/28 (14:57:37) | DEBUG: Using locale en_US.UTF-8
2025/02/28 (14:57:37) | INFO: Running on /dev/pts/2
2025/02/28 (14:57:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/28 (14:57:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/28 (14:57:37) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/02/28 (14:57:37) | DEBUG: Shared::init() : Initialized.
2025/02/28 (14:57:37) | DEBUG: Loading theme file: /home/nadeshiko/.config/btop/themes/custom.theme

2025/02/28 (14:59:10) | ===> btop++ v.1.4.0
2025/02/28 (14:59:10) | INFO: Logger set to DEBUG
2025/02/28 (14:59:10) | DEBUG: Using locale en_US.UTF-8
2025/02/28 (14:59:10) | INFO: Running on /dev/pts/0
2025/02/28 (14:59:11) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
